web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
"1737994035-225","https://www.expat-dakar.com/ordinateurs?page=75","ProArt Studiobook 16 OLED 2023 Core i9
                                VenantASUS
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        27. déc. '24, 12:54
                                    
                    1 300 000 F Cfa
                        
                        784043388","https://www.expat-dakar.com/annonce/proart-studiobook-16-oled-2023-core-i9-6243108","Venant","ASUS","Noir","i9","32","1000Go","1 300 000 F Cfa"
"1737994038-226","https://www.expat-dakar.com/ordinateurs?page=75","Hp elitebook 840 g3 i5
                                VenantHP
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:20
                                    
                    150 000 F Cfa
                        
                        774697420
                    
                        774697420","https://www.expat-dakar.com/annonce/hp-elitebook-840-g3-i5-6241984","Venant","HP","Gris","I5","8","256","150 000 F Cfa"
"1737994040-227","https://www.expat-dakar.com/ordinateurs?page=75","ORDINATEUR HP 840 G2
                                VenantHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 13:34
                                    
                    115 000 F Cfa
                        
                        777208185","https://www.expat-dakar.com/annonce/ordinateur-hp-840-g2-6241654","Venant","HP","NOIR","","8G","","115 000 F Cfa"
"1737994043-228","https://www.expat-dakar.com/ordinateurs?page=75","Macbook Pro 2019 16inch
                                VenantApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 15:04
                                    
                    425 000 F Cfa
                        
                        773941436
                    
                        764886526","https://www.expat-dakar.com/annonce/macbook-pro-2019-16inch-6243167","Venant","Apple","Gris","i7","16","500","425 000 F Cfa"
"1737994045-229","https://www.expat-dakar.com/ordinateurs?page=75","Hp Zbook core i7 rma 16Go ssd 512Go
                                NeufHP
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        27. déc. '24, 16:19
                                    
                    300 000 F Cfa
                        
                        785329088","https://www.expat-dakar.com/annonce/hp-zbook-core-i7-rma-16go-ssd-512go-6235553","Neuf","HP","Gris","Core i7","16Go","512Go","300 000 F Cfa"
"1737994048-230","https://www.expat-dakar.com/ordinateurs?page=75","Lenovo thinkpad X1 Yoga i7 2023
                                VenantLenovo
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 16:34
                                    
                    365 000 F Cfa
                        
                        784651156
                    
                        784651156","https://www.expat-dakar.com/annonce/lenovo-thinkpad-x1-yoga-i7-2023-6243258","Venant","Lenovo","Grise","i7","16","512","365 000 F Cfa"
"1737994051-231","https://www.expat-dakar.com/ordinateurs?page=75","Asus Zenbook UX363EA i7 X360 2023
                                VenantASUS
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        27. déc. '24, 16:42
                                    
                    350 000 F Cfa
                        
                        784651156
                    
                        784651156","https://www.expat-dakar.com/annonce/asus-zenbook-ux363ea-i7-x360-2023-6243259","Venant","ASUS","Blu","i7","16","512","350 000 F Cfa"
"1737994053-232","https://www.expat-dakar.com/ordinateurs?page=75","Hp probook 11E G3 EE
                                NeufHP
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        27. déc. '24, 17:15
                                    
                    100 000 F Cfa
                        
                        771510586","https://www.expat-dakar.com/annonce/hp-probook-11e-g3-ee-6243276","Neuf","HP","Noir et bleu","Duo core","4go","128go","100 000 F Cfa"
"1737994056-233","https://www.expat-dakar.com/ordinateurs?page=75","Dell 7400 i5 8th ram 8
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        vendredi, 07:58
                                    
                                            Vendeur vérifié
                                        
                    160 000 F Cfa
                        
                        774901212
                    
                        773611304
                    
                        767499096","https://www.expat-dakar.com/annonce/dell-7400-i5-8th-ram-8-6233824","Venant","Dell","","i5 8th","8","256 go ssd","160 000 F Cfa"
"1737994061-234","https://www.expat-dakar.com/ordinateurs?page=74","𝗛𝗣 𝗭𝗕𝗢𝗢𝗞 𝟭𝟰𝗨 𝗚𝟲 | i𝟱 | 𝟴 𝗚𝗲𝗻
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        28. déc. '24, 10:17
                                    
                                            Vendeur vérifié
                                        
                    210 000 F Cfa
                        
                        778852222
                    
                        775126800
                    
                        771590000","https://www.expat-dakar.com/annonce/i-6238872","Venant","HP","","i5","8 Go","256 Go ssd","210 000 F Cfa"
"1737994063-235","https://www.expat-dakar.com/ordinateurs?page=74","HP Elitebook 830 G8 I5
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        28. déc. '24, 10:26
                                    
                    300 000 F Cfa
                        
                        774563030","https://www.expat-dakar.com/annonce/hp-elitebook-830-g8-i5-6243482","Venant","HP","Grise Argentée","ONZIEME GEN I5","16GO","256GO","300 000 F Cfa"
"1737994066-236","https://www.expat-dakar.com/ordinateurs?page=74","ASUS ROG STRIX G16 2024
                                VenantASUS
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        28. déc. '24, 10:27
                                    
                    750 000 F Cfa
                        
                        776782323","https://www.expat-dakar.com/annonce/asus-rog-strix-g16-2024-6243424","Venant","ASUS","Gris","I7","16","512","750 000 F Cfa"
"1737994068-237","https://www.expat-dakar.com/ordinateurs?page=74","Promo"" bureau i5 disk 500 ram 8gb ecran 22p
                                VenantHP
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        28. déc. '24, 11:29
                                    
                    60 000 F Cfa
                        
                        775048407
                    
                        766147373","https://www.expat-dakar.com/annonce/promo-bureau-i5-disk-500-ram-8gb-ecran-22p-6243551","Venant","HP","","CORE I5","8","500","60 000 F Cfa"
"1737994070-238","https://www.expat-dakar.com/ordinateurs?page=74","MacBook Air 2020
                                VenantApple
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        28. déc. '24, 11:33
                                    
                    310 000 F Cfa
                        
                        777028345","https://www.expat-dakar.com/annonce/macbook-air-2020-6243555","Venant","Apple","Noir","I3","8","256","310 000 F Cfa"
